nan,nan,-75.0,nan,nan,-50.0,nan,-63.0,nan,nan,nan,nan,-52.0,nan,nan,nan,nan,nan,nan,-60.0,-65.0,-74.0,nan,nan,nan,nan,nan
nan,nan,-71.0,nan,nan,-50.0,nan,-66.0,nan,nan,nan,nan,-52.0,nan,nan,nan,-50.0,nan,nan,-64.0,-67.0,-81.0,-80.0,nan,nan,nan,nan
nan,nan,-71.0,nan,nan,-50.0,nan,-66.0,nan,nan,nan,nan,-52.0,nan,nan,nan,-50.0,nan,nan,-64.0,-67.0,-81.0,-80.0,nan,nan,nan,nan
nan,nan,-71.0,nan,nan,-50.0,nan,-66.0,nan,nan,nan,nan,-52.0,nan,nan,nan,-50.0,nan,nan,-64.0,-67.0,-81.0,-80.0,nan,nan,nan,nan
nan,nan,-68.0,nan,nan,-48.0,-82.0,-61.0,nan,nan,nan,nan,-53.0,nan,nan,nan,-53.0,nan,nan,-64.0,-64.0,-76.0,-77.0,nan,nan,nan,nan
nan,nan,-68.0,nan,nan,-48.0,-82.0,-61.0,nan,nan,nan,nan,-53.0,nan,nan,nan,-53.0,nan,nan,-64.0,-64.0,-76.0,-77.0,nan,nan,nan,nan
nan,nan,-68.0,nan,nan,-48.0,-82.0,-61.0,nan,nan,nan,nan,-53.0,nan,nan,nan,-53.0,nan,nan,nan,-64.0,-76.0,-77.0,nan,nan,nan,nan
nan,nan,-68.0,nan,nan,-49.0,-82.0,-59.0,nan,nan,nan,nan,-56.0,nan,nan,nan,-53.0,nan,nan,-64.0,-64.0,-76.0,-77.0,nan,nan,nan,nan
nan,nan,-68.0,nan,nan,-49.0,-82.0,-59.0,nan,nan,nan,nan,-56.0,nan,nan,nan,-53.0,nan,nan,-64.0,-64.0,-76.0,-77.0,nan,nan,nan,nan
nan,nan,nan,nan,nan,-49.0,nan,-59.0,nan,nan,nan,nan,-56.0,nan,nan,nan,-53.0,nan,nan,-64.0,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,-49.0,nan,-59.0,nan,nan,nan,nan,-53.0,nan,nan,nan,-53.0,nan,nan,-60.0,-73.0,-76.0,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,-49.0,nan,-59.0,nan,nan,nan,nan,-53.0,nan,nan,nan,-53.0,nan,nan,-60.0,-73.0,-76.0,nan,nan,nan,nan,nan
